identifier	plaats	adres	locatie	postcode	breedtegraad	lengtegraad	straat-id	voorstelling	opschrift	datering	afbeelding 1	afbeelding klein 1	afbeelding 2	afbeelding klein 2
molenwerf05	Gouda	Molenwerf 5		2801PP	52.010107	4.7117938	https://www.goudatimemachine.nl/id/straten/molenwerf	geloof, hoop, liefde	1635	1635	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Molenwerf05.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Molenwerf05_small.jpg		
peperstr024xr	Gouda	Peperstraat t.o. 24		2801RD	52.0084989	4.7112345	https://www.goudatimemachine.nl/id/straten/peperstraat	wapen thart	FONDATIE VAN HENDRICK EN HELENA THART 1657	1657	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr024xr.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr024xr_small.jpg		
peperstr032	Gouda	Peperstraat 32	gevel Komijnesteeg	2801RE	52.0092392	4.71053	https://www.goudatimemachine.nl/id/straten/peperstraat	huisnaam	VREDEN-HOEF		https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr032.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr032_small.jpg		
peperstr078	Gouda	Peperstraat 78		2801RG	52.0083989	4.7112629	https://www.goudatimemachine.nl/id/straten/peperstraat	pottenbakker		1988	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr078.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr078_small.jpg		
peperstr142	Gouda	Peperstraat 142	pakhuis	2801RH	52.0072815	4.7123284	https://www.goudatimemachine.nl/id/straten/peperstraat	dorpsgezicht	IN HAESTRECHT		https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr142.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Peperstr142_small.jpg		
langenoodgodsstr32	Gouda	Lange Noodgodsstraat 32-64		2801RS	52.0087431	4.7132967	https://www.goudatimemachine.nl/id/straten/lange-noodgodsstraat	zwaan	HIER STOND DE POTTENBAKKERIJ DE SWAEN GESTICHT AD 1628	20e	https://static.coret.org/img/goudatimemachine/gevelstenen.net/LangeNoodgodsstr32.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/LangeNoodgodsstr32_small.jpg		
verlorenkost19	Gouda	Verlorenkost	hoek Vest	2801VB	52.0102081	4.7040541	https://www.goudatimemachine.nl/id/straten/verlorenkost	korenbloem	DE MOLEN VAN DE KORENBLOM GESTIGT DOOR DIRK EN ARY NEGENDUSENT ANNO 1751 (HERPLAATST 1954)	1751	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Verlorenkost19.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Verlorenkost19_small.jpg		
raam178	Gouda	Raam 178		2801VN	52.008863	4.7068683	https://www.goudatimemachine.nl/id/straten/raam	klimmende bok	1622	1622	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Raam178.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Raam178_small.jpg		
robaarstr64	Gouda	Robaarstraat 64		2801XG	52.0135286	4.7131231	https://www.goudatimemachine.nl/id/straten/robaarstraat	troffel	1644	1644	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Robaarstr64.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Robaarstr64_small.jpg		
groeneweg42	Gouda	Groeneweg 42	Hofje	2801ZD	52.0102615	4.7138955	https://www.goudatimemachine.nl/id/straten/groeneweg	toren	HET SWANENBURGHS HOF 1692	1692	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Groeneweg42.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Groeneweg42_small.jpg		
spieringstr01	Gouda	Spieringstraat 1	poort weeshuis	2801ZH	52.0104947	4.7130957	https://www.goudatimemachine.nl/id/straten/spieringstraat	wapen gouda, weeskinderen		1643	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Spieringstr01.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Spieringstr01_small.jpg		
spieringstr02	Gouda	Spieringstraat 2	poortje Willem Vroesenhuis	2801ZM	52.0100464	4.7130484	https://www.goudatimemachine.nl/id/straten/spieringstraat	oude mannen met wapen gouda	1614 SPARTAM NACTI TEMPORA LABUNTUR	1614	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Spieringstr02.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Spieringstr02_small.jpg		
spieringstr06	Gouda	Spieringstraat 6		2801ZM	52.009962	4.7130851	https://www.goudatimemachine.nl/id/straten/spieringstraat	vissen	IN DE SPIERINGEN		https://static.coret.org/img/goudatimemachine/gevelstenen.net/Spieringstr06.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Spieringstr06_small.jpg		
turfsingel60	Gouda	Turfsingel 60		2802BD	52.0097589	4.7027444	https://www.goudatimemachine.nl/id/straten/turfsingel	oude man	NIET ZONDER MOEITE	1950	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Turfsingel60.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Turfsingel60_small.jpg		
eersteejpotgieterstr36	Gouda	Eerste E.J. Potgieterstraat 36		2802LE	52.0061576	4.6983052	https://www.goudatimemachine.nl/id/straten/eerste-e-j-potgieterstraat	apotheek		1956	https://static.coret.org/img/goudatimemachine/gevelstenen.net/EersteEJPotgieterstr36.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/EersteEJPotgieterstr36_small.jpg		
jacobvanlennepkade05	Gouda	Jacob van Lennepkade 5		2802LG	52.0049361	4.700084	https://www.goudatimemachine.nl/id/straten/jacob-van-lennepkade	bakkerij	DE FIJNE GOUDSE BAKKERIJ AD 1948	1948	https://static.coret.org/img/goudatimemachine/gevelstenen.net/JacobVanLennepkade05.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/JacobVanLennepkade05_small.jpg		
nicolaasbeetsstr02	Gouda	Nicolaas Beetsstraat 2	gevel Constantijn Huygensstraat	2802NA	52.0053527	4.7010741	https://www.goudatimemachine.nl/id/straten/nicolaas-beetsstraat	volleybalspelers		20e	https://static.coret.org/img/goudatimemachine/gevelstenen.net/NicolaasBeetsstr02.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/NicolaasBeetsstr02_small.jpg		
steijnkade33	Gouda	Steijnkade 33/34		2805JE	52.0167213	4.7223882	https://www.goudatimemachine.nl/id/straten/steijnkade	uil		1904	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Steijnkade33.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Steijnkade33_small.jpg		
blekerssingel14	Gouda	Blekerssingel 14		2806AA	52.0155358	4.710825	https://www.goudatimemachine.nl/id/straten/blekerssingel	snoek	SNOECK		https://static.coret.org/img/goudatimemachine/gevelstenen.net/Blekerssingel14.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Blekerssingel14_small.jpg		
boelekade73	Gouda	Boelekade 73		2806AE	52.0154391	4.7127254	https://www.goudatimemachine.nl/id/straten/boelekade	twee sporters		1961	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Boelekade73.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Boelekade73_small.jpg		
burgemmartenssingel15	Gouda	Burgemeester Martenssingel 15		2806CL	52.0135569	4.7220706	https://www.goudatimemachine.nl/id/straten/burgemeester-martenssingel	rijkswapen	RIJKS-HOOGERE-BURGERSCHOOL	1916	https://static.coret.org/img/goudatimemachine/gevelstenen.net/BurgemMartenssingel15.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/BurgemMartenssingel15_small.jpg		
vanitersonlaan07	Gouda	Van Itersonlaan 7		2806DD	52.0105586	4.7220034	https://www.goudatimemachine.nl/id/straten/van-itersonlaan	otter	IN DEN OTTER 1950	1950	https://static.coret.org/img/goudatimemachine/gevelstenen.net/VanItersonlaan07.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/VanItersonlaan07_small.jpg		
derdekade124	Gouda	Derde kade 124	hoek Noothoven van Goorstraat	2806RR	52.0162761	4.7174556	https://www.goudatimemachine.nl/id/straten/derde-kade	bejaarden	WONINGEN VOOR OUDEN VAN DAGEN Ao 1931	1931	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Derdekade124.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Derdekade124_small.jpg		
gouderaksedijk131	Gouda	Gouderaksedijk 131		2808ND	52.0025273	4.7093271	https://www.goudatimemachine.nl/id/straten/gouderaksedijk	koe	DBG		https://static.coret.org/img/goudatimemachine/gevelstenen.net/Gouderaksedijk131.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Gouderaksedijk131_small.jpg		
